experiment,graph,nodes,edges,config,time_ms,iterations,residual,speedup,efficiency
serial,data/graph_1K.txt,1000,10000,1,0.21,11,4.1779e-07,1.0000,1.0000
serial,data/graph_5K.txt,5000,50000,1,1.11,11,4.0825e-07,1.0000,1.0000
serial,data/graph_10K.txt,10000,100000,1,2.52,11,4.1586e-07,1.0000,1.0000
serial,data/graph_50K.txt,50000,500000,1,16.32,11,4.1770e-07,1.0000,1.0000
serial,data/graph_100K.txt,100000,1000000,1,41.34,11,4.1648e-07,1.0000,1.0000
openmp,data/graph_1K.txt,1000,10000,1,0.22,11,4.1779e-07,1.0000,1.0000
openmp,data/graph_1K.txt,1000,10000,2,0.15,11,4.1779e-07,1.4667,0.7333
openmp,data/graph_1K.txt,1000,10000,4,0.12,11,4.1779e-07,1.8333,0.4583
openmp,data/graph_5K.txt,5000,50000,1,1.12,11,4.0825e-07,1.0000,1.0000
openmp,data/graph_5K.txt,5000,50000,2,0.65,11,4.0825e-07,1.7231,0.8615
openmp,data/graph_5K.txt,5000,50000,4,0.40,11,4.0825e-07,2.8000,0.7000
openmp,data/graph_10K.txt,10000,100000,1,2.55,11,4.1586e-07,1.0000,1.0000
openmp,data/graph_10K.txt,10000,100000,2,1.42,11,4.1586e-07,1.7958,0.8979
openmp,data/graph_10K.txt,10000,100000,4,0.78,11,4.1586e-07,3.2692,0.8173
openmp,data/graph_50K.txt,50000,500000,1,16.50,11,4.1770e-07,1.0000,1.0000
openmp,data/graph_50K.txt,50000,500000,2,8.95,11,4.1770e-07,1.8436,0.9218
openmp,data/graph_50K.txt,50000,500000,4,4.82,11,4.1770e-07,3.4232,0.8558
openmp,data/graph_100K.txt,100000,1000000,1,42.12,11,4.1648e-07,1.0000,1.0000
openmp,data/graph_100K.txt,100000,1000000,2,24.28,11,4.1648e-07,1.7347,0.8674
openmp,data/graph_100K.txt,100000,1000000,4,12.52,11,4.1648e-07,3.3642,0.8410
mpi,data/graph_1K.txt,1000,10000,1,0.35,11,4.1779e-07,1.0000,1.0000
mpi,data/graph_1K.txt,1000,10000,2,5.20,11,4.1779e-07,0.0673,0.0337
mpi,data/graph_1K.txt,1000,10000,4,8.50,11,4.1779e-07,0.0412,0.0103
mpi,data/graph_5K.txt,5000,50000,1,1.80,11,4.0825e-07,1.0000,1.0000
mpi,data/graph_5K.txt,5000,50000,2,8.30,11,4.0825e-07,0.2169,0.1084
mpi,data/graph_5K.txt,5000,50000,4,12.10,11,4.0825e-07,0.1488,0.0372
mpi,data/graph_10K.txt,10000,100000,1,3.50,11,4.1586e-07,1.0000,1.0000
mpi,data/graph_10K.txt,10000,100000,2,15.80,11,4.1586e-07,0.2215,0.1108
mpi,data/graph_10K.txt,10000,100000,4,22.40,11,4.1586e-07,0.1563,0.0391
mpi,data/graph_50K.txt,50000,500000,1,25.50,11,4.1770e-07,1.0000,1.0000
mpi,data/graph_50K.txt,50000,500000,2,55.20,11,4.1770e-07,0.4618,0.2309
mpi,data/graph_50K.txt,50000,500000,4,98.30,11,4.1770e-07,0.2594,0.0649
mpi,data/graph_100K.txt,100000,1000000,1,426.84,11,4.1648e-07,1.0000,1.0000
mpi,data/graph_100K.txt,100000,1000000,2,287.71,11,4.1648e-07,1.4835,0.7418
mpi,data/graph_100K.txt,100000,1000000,4,412.19,11,4.1648e-07,1.0355,0.2589
